Genotype_id,Family_id,Adj_Dia_14,Adj_Dia_26,Adj_Dia_47,Adj_Fstam_47,Adj_Ftopp_47,Adj_Gant_14,Adj_Gdia_26,Adj_Gdiagr130_14,Adj_Gvin_26,Adj_Gvingr130_14,Adj_Hjd_10,Adj_Hjd_14,Adj_Hjd_26,Adj_Hjd_47,Adj_Kvar_47,Adj_Lev_10,Adj_Lev_14,Adj_Lev_26,Adj_Lev_47,Adj_Rak_14,Adj_Sdbst_14,Adj_Sprant_14,Adj_Sprant_26,Adj_Vit_10,Adj_Vit_14,Adj_Vit_26,Adj_Vit_47
271,36743,42.011002,135.858002,225.175995,0.016585,0.05341,14.301316,6.98922,17.4779,4.999187,72.218903,174.755905,300.408997,72.819618,157.576996,3.900111,0.926713,0.945065,0.936976,0.489063,0.999704,-0.005149,0.95973,3.780234,2.824455,2.7903,2.791429,2.8933
272,36792,36.939999,129.102295,166.095993,0.018541,0.05429,10.440416,6.992997,20.502001,4.999181,71.218903,174.180893,271.234009,60.960701,141.971237,2.600611,0.899603,0.853905,0.848496,0.450443,1.000249,-0.005155,-0.0286,-0.213366,2.690455,2.4901,2.525029,2.6693
273,36797,40.2304,141.953201,221.122803,0.015595,0.05498,14.57113,2.999014,17.299101,6.999183,74.866997,153.975494,289.109009,81.9095,165.097015,3.47447,0.915969,0.87581,0.86673,0.451046,0.99968,-0.00521,-0.02048,0.75861,2.75834,2.56798,2.583195,2.6642
274,36799,33.409401,115.443001,154.229996,0.01488,0.05575,9.61553,6.991271,17.3846,2.999178,50.873402,147.400497,262.489014,58.340599,137.779297,2.92284,0.968579,0.97253,0.9704,0.485996,1.000315,-0.005196,-0.01884,1.74941,2.92194,2.88848,2.909715,2.8526
275,27810,68.608002,164.029007,210.977005,0.013877,0.05642,10.63603,5.001796,18.386801,4.999109,68.878632,198.695496,368.778992,86.235603,141.949493,3.09218,0.998613,0.97922,0.97631,0.504658,0.999303,-0.005184,-0.02126,0.74901,2.98569,2.90508,2.979645,2.9503
276,36812,49.763802,154.992004,236.841003,-0.007826,0.05744,9.55702,7.004061,19.594299,2.99901,59.36533,199.594055,310.908905,77.560944,160.386902,3.80995,0.962461,0.912212,0.928031,0.487265,0.999296,0.004863,0.91864,2.768054,2.83427,2.7135,2.76953,2.8647
277,36860,72.888,167.300003,234.102997,-0.016926,0.05868,12.43872,5.01396,19.387699,4.99896,80.378662,244.954056,400.968903,82.372742,171.248993,2.69815,0.915341,0.874012,0.883751,0.466155,0.999332,0.004875,1.8404,2.765354,2.69457,2.5853,2.63643,2.7468
278,36838,38.549,114.365997,160.720993,-0.02459,0.05902,11.40112,5.01245,15.3063,4.998942,58.384121,181.344055,280.558899,69.75174,157.173004,2.70345,0.906521,0.912502,0.917881,0.465085,1.000661,0.004879,1.8072,1.761854,2.68047,2.7066,2.75613,2.7455
279,36830,72.466003,169.354004,232.399994,0.034254,0.19956,14.68881,5.016387,20.4263,7.058441,66.929512,224.187805,387.867004,87.069099,173.376999,3.29369,0.83347,0.8036,0.809133,0.365538,0.991988,0.011693,-0.21789,1.66967,2.45214,2.36399,2.469608,2.5182
280,36834,49.511002,137.5979,190.339996,0.035721,0.19984,9.60231,5.013461,22.255899,5.058464,52.93433,181.917801,317.157013,77.5401,170.481995,2.21319,0.82692,0.77934,0.785303,0.357328,0.993741,0.011696,1.77421,2.67077,2.43244,2.29069,2.347108,2.4646
281,36721,52.134998,150.731293,208.059006,0.036991,0.20006,11.52871,5.00761,25.346901,5.058546,55.93224,183.517792,332.946991,76.699097,169.410004,3.27219,0.85494,0.83173,0.837073,0.384928,0.991992,0.011697,1.78251,2.68887,2.54157,2.46419,2.488808,2.6205
282,36863,48.686001,143.720993,183.140991,0.03763,0.20101,14.71496,6.953887,19.81382,5.058798,73.154182,185.042282,324.255615,62.039501,140.186005,2.081507,0.846426,0.803474,0.803148,0.348361,0.992425,0.011043,0.82811,2.784819,2.5173,2.36037,2.3791,1.4895
283,36816,55.160999,149.843994,216.419006,0.037781,0.20122,12.72276,6.963637,15.81172,5.058773,67.150421,225.722275,364.475586,81.886497,176.983002,3.028107,0.850116,0.793244,0.796058,0.340401,0.993351,0.011042,-0.16969,1.805219,2.5056,2.33157,2.3572,2.4269
284,28784,61.182999,139.013855,189.274994,0.039382,0.20142,8.741467,4.963767,23.305799,5.058755,62.051899,208.624344,361.764008,83.417297,158.996994,2.866817,0.84676,0.7754,0.774513,0.333042,0.992295,0.011012,0.83311,0.85484,2.46718,2.27569,2.290393,2.3665
285,36772,59.703999,149.052795,242.362,0.038818,0.20148,10.794567,4.975127,20.2339,5.058705,63.051529,173.10434,372.843994,87.136299,184.238205,1.947917,0.85537,0.7833,0.780913,0.335932,0.993644,0.011008,-0.15979,0.86868,2.49218,2.29889,2.310792,2.3875
286,36872,65.223,175.363998,232.557999,0.03814,0.20158,13.771467,4.980917,26.212799,5.058719,48.049911,187.644333,346.944,88.033302,164.637299,2.987417,0.87701,0.8016,0.796103,0.347782,0.9919,0.011003,0.83741,0.87503,2.56178,2.35299,2.356293,2.469
287,36761,26.169001,86.883003,146.158005,-0.042477,0.15238,9.48319,5.06634,11.8582,4.944586,16.49151,125.167412,223.548004,53.474739,138.003799,2.757698,0.825962,0.746245,0.754631,0.316946,0.985844,-0.026047,0.7362,3.842138,2.38747,2.22323,2.245506,2.53976
288,36832,40.120998,145.005981,210.688995,-0.04918,0.15224,13.44589,5.06788,17.9079,4.94461,58.481998,143.977417,295.257996,79.425743,177.314804,1.797098,0.834829,0.762415,0.766591,0.318126,0.987522,-0.026057,0.7639,1.858348,2.41385,2.26823,2.279806,2.58206
289,36719,30.118999,126.520996,224.871994,-0.06922,0.15174,13.36519,5.08697,13.7573,4.944695,76.466103,155.089813,283.557007,73.979736,160.259399,2.213184,0.88038,0.829415,0.829071,0.339706,0.987171,-0.026091,-0.20812,0.879228,2.55449,2.47856,2.466646,2.62354
290,36811,71.223999,166.220993,249.265991,-0.11341,0.15055,11.347223,5.091528,20.8328,4.944697,77.557503,226.260803,404.502014,90.505966,173.167999,2.317742,0.88054,0.801309,0.796918,0.357365,0.986957,-0.055656,-0.2306,2.867417,2.54753,2.400176,2.368315,2.59121
