Genotype_id,Mum_id,Dad_id,Mum_type,Dad_type
[Pinus_sylvestris].[Pinus_sylvestris].[Sweden].[SE64],0,0,,
[Pinus_sylvestris].[Pinus_sylvestris].[Sweden].[SE63],0,0,,
[Pinus_sylvestris].[Pinus_sylvestris].[Sweden].[SE64+],0,0,,
[Pinus_sylvestris].[Pinus_sylvestris].[Sweden].[SE65+],0,0,,
[Pinus_sylvestris].[Pinus_sylvestris].[Sweden].[SE63+],0,0,,
[Pinus_sylvestris].[Pinus_sylvestris].[Sweden].[SE62+],0,0,,
[Pinus_sylvestris].[Pinus_sylvestris].[Sweden].[SE65],0,0,,
[Pinus_sylvestris].[Pinus_sylvestris].[Sweden].[Unknown],0,0,,
1,[Pinus_sylvestris].[Pinus_sylvestris].[Sweden].[SE64+],[Pinus_sylvestris].[Pinus_sylvestris].[Sweden].[SE64+],G,G
2,[Pinus_sylvestris].[Pinus_sylvestris].[Sweden].[SE64+],[Pinus_sylvestris].[Pinus_sylvestris].[Sweden].[SE64+],G,G
3,[Pinus_sylvestris].[Pinus_sylvestris].[Sweden].[SE65+],[Pinus_sylvestris].[Pinus_sylvestris].[Sweden].[SE65+],G,G
4,[Pinus_sylvestris].[Pinus_sylvestris].[Sweden].[SE65+],[Pinus_sylvestris].[Pinus_sylvestris].[Sweden].[SE65+],G,G
5,[Pinus_sylvestris].[Pinus_sylvestris].[Sweden].[SE64+],[Pinus_sylvestris].[Pinus_sylvestris].[Sweden].[SE64+],G,G
6,[Pinus_sylvestris].[Pinus_sylvestris].[Sweden].[SE64+],[Pinus_sylvestris].[Pinus_sylvestris].[Sweden].[SE64+],G,G
7,[Pinus_sylvestris].[Pinus_sylvestris].[Sweden].[SE64+],[Pinus_sylvestris].[Pinus_sylvestris].[Sweden].[SE64+],G,G
8,[Pinus_sylvestris].[Pinus_sylvestris].[Sweden].[SE64+],[Pinus_sylvestris].[Pinus_sylvestris].[Sweden].[SE64+],G,G
9,[Pinus_sylvestris].[Pinus_sylvestris].[Sweden].[SE63+],[Pinus_sylvestris].[Pinus_sylvestris].[Sweden].[SE63+],G,G
10,[Pinus_sylvestris].[Pinus_sylvestris].[Sweden].[SE64+],[Pinus_sylvestris].[Pinus_sylvestris].[Sweden].[SE64+],G,G
11,[Pinus_sylvestris].[Pinus_sylvestris].[Sweden].[SE64+],[Pinus_sylvestris].[Pinus_sylvestris].[Sweden].[SE64+],G,G
12,[Pinus_sylvestris].[Pinus_sylvestris].[Sweden].[SE64+],[Pinus_sylvestris].[Pinus_sylvestris].[Sweden].[SE64+],G,G
13,[Pinus_sylvestris].[Pinus_sylvestris].[Sweden].[SE63+],[Pinus_sylvestris].[Pinus_sylvestris].[Sweden].[SE63+],G,G
14,[Pinus_sylvestris].[Pinus_sylvestris].[Sweden].[SE63+],[Pinus_sylvestris].[Pinus_sylvestris].[Sweden].[SE63+],G,G
15,[Pinus_sylvestris].[Pinus_sylvestris].[Sweden].[SE64+],[Pinus_sylvestris].[Pinus_sylvestris].[Sweden].[SE64+],G,G
16,[Pinus_sylvestris].[Pinus_sylvestris].[Sweden].[SE64+],[Pinus_sylvestris].[Pinus_sylvestris].[Sweden].[SE64+],G,G
17,[Pinus_sylvestris].[Pinus_sylvestris].[Sweden].[SE63+],[Pinus_sylvestris].[Pinus_sylvestris].[Sweden].[SE63+],G,G
18,[Pinus_sylvestris].[Pinus_sylvestris].[Sweden].[SE63+],[Pinus_sylvestris].[Pinus_sylvestris].[Sweden].[SE63+],G,G
19,[Pinus_sylvestris].[Pinus_sylvestris].[Sweden].[SE62+],[Pinus_sylvestris].[Pinus_sylvestris].[Sweden].[SE62+],G,G
20,[Pinus_sylvestris].[Pinus_sylvestris].[Sweden].[SE62+],[Pinus_sylvestris].[Pinus_sylvestris].[Sweden].[SE62+],G,G
21,[Pinus_sylvestris].[Pinus_sylvestris].[Sweden].[SE65+],[Pinus_sylvestris].[Pinus_sylvestris].[Sweden].[SE65+],G,G
22,[Pinus_sylvestris].[Pinus_sylvestris].[Sweden].[SE64+],[Pinus_sylvestris].[Pinus_sylvestris].[Sweden].[SE64+],G,G
23,[Pinus_sylvestris].[Pinus_sylvestris].[Sweden].[SE64+],[Pinus_sylvestris].[Pinus_sylvestris].[Sweden].[SE64+],G,G
24,[Pinus_sylvestris].[Pinus_sylvestris].[Sweden].[SE64+],[Pinus_sylvestris].[Pinus_sylvestris].[Sweden].[SE64+],G,G
25,[Pinus_sylvestris].[Pinus_sylvestris].[Sweden].[SE64+],[Pinus_sylvestris].[Pinus_sylvestris].[Sweden].[SE64+],G,G
26,[Pinus_sylvestris].[Pinus_sylvestris].[Sweden].[SE64+],[Pinus_sylvestris].[Pinus_sylvestris].[Sweden].[SE64+],G,G
27,[Pinus_sylvestris].[Pinus_sylvestris].[Sweden].[SE64+],[Pinus_sylvestris].[Pinus_sylvestris].[Sweden].[SE64+],G,G
28,[Pinus_sylvestris].[Pinus_sylvestris].[Sweden].[SE64+],[Pinus_sylvestris].[Pinus_sylvestris].[Sweden].[SE64+],G,G
29,[Pinus_sylvestris].[Pinus_sylvestris].[Sweden].[SE64+],[Pinus_sylvestris].[Pinus_sylvestris].[Sweden].[SE64+],G,G
30,[Pinus_sylvestris].[Pinus_sylvestris].[Sweden].[SE64+],[Pinus_sylvestris].[Pinus_sylvestris].[Sweden].[SE64+],G,G
31,[Pinus_sylvestris].[Pinus_sylvestris].[Sweden].[SE63+],[Pinus_sylvestris].[Pinus_sylvestris].[Sweden].[SE63+],G,G
32,[Pinus_sylvestris].[Pinus_sylvestris].[Sweden].[SE64+],[Pinus_sylvestris].[Pinus_sylvestris].[Sweden].[SE64+],G,G
33,[Pinus_sylvestris].[Pinus_sylvestris].[Sweden].[SE64+],[Pinus_sylvestris].[Pinus_sylvestris].[Sweden].[SE64+],G,G
34,[Pinus_sylvestris].[Pinus_sylvestris].[Sweden].[SE64+],[Pinus_sylvestris].[Pinus_sylvestris].[Sweden].[SE64+],G,G
35,[Pinus_sylvestris].[Pinus_sylvestris].[Sweden].[SE65+],[Pinus_sylvestris].[Pinus_sylvestris].[Sweden].[SE65+],G,G
36,[Pinus_sylvestris].[Pinus_sylvestris].[Sweden].[SE64+],[Pinus_sylvestris].[Pinus_sylvestris].[Sweden].[SE64+],G,G
37,[Pinus_sylvestris].[Pinus_sylvestris].[Sweden].[SE64+],[Pinus_sylvestris].[Pinus_sylvestris].[Sweden].[SE64+],G,G
38,[Pinus_sylvestris].[Pinus_sylvestris].[Sweden].[SE64+],[Pinus_sylvestris].[Pinus_sylvestris].[Sweden].[SE64+],G,G
39,[Pinus_sylvestris].[Pinus_sylvestris].[Sweden].[SE64+],[Pinus_sylvestris].[Pinus_sylvestris].[Sweden].[SE64+],G,G
40,[Pinus_sylvestris].[Pinus_sylvestris].[Sweden].[SE65+],[Pinus_sylvestris].[Pinus_sylvestris].[Sweden].[SE65+],G,G
41,[Pinus_sylvestris].[Pinus_sylvestris].[Sweden].[SE64+],[Pinus_sylvestris].[Pinus_sylvestris].[Sweden].[SE64+],G,G
42,[Pinus_sylvestris].[Pinus_sylvestris].[Sweden].[SE64+],[Pinus_sylvestris].[Pinus_sylvestris].[Sweden].[SE64+],G,G
43,[Pinus_sylvestris].[Pinus_sylvestris].[Sweden].[SE64+],[Pinus_sylvestris].[Pinus_sylvestris].[Sweden].[SE64+],G,G
44,[Pinus_sylvestris].[Pinus_sylvestris].[Sweden].[SE63+],[Pinus_sylvestris].[Pinus_sylvestris].[Sweden].[SE63+],G,G
45,[Pinus_sylvestris].[Pinus_sylvestris].[Sweden].[SE63+],[Pinus_sylvestris].[Pinus_sylvestris].[Sweden].[SE63+],G,G
46,[Pinus_sylvestris].[Pinus_sylvestris].[Sweden].[SE63+],[Pinus_sylvestris].[Pinus_sylvestris].[Sweden].[SE63+],G,G
47,[Pinus_sylvestris].[Pinus_sylvestris].[Sweden].[SE64+],[Pinus_sylvestris].[Pinus_sylvestris].[Sweden].[SE64+],G,G
48,[Pinus_sylvestris].[Pinus_sylvestris].[Sweden].[SE64+],[Pinus_sylvestris].[Pinus_sylvestris].[Sweden].[SE64+],G,G
49,[Pinus_sylvestris].[Pinus_sylvestris].[Sweden].[SE64+],[Pinus_sylvestris].[Pinus_sylvestris].[Sweden].[SE64+],G,G
50,[Pinus_sylvestris].[Pinus_sylvestris].[Sweden].[SE64+],[Pinus_sylvestris].[Pinus_sylvestris].[Sweden].[SE64+],G,G
51,[Pinus_sylvestris].[Pinus_sylvestris].[Sweden].[SE64+],[Pinus_sylvestris].[Pinus_sylvestris].[Sweden].[SE64+],G,G
52,[Pinus_sylvestris].[Pinus_sylvestris].[Sweden].[SE63+],[Pinus_sylvestris].[Pinus_sylvestris].[Sweden].[SE63+],G,G
53,[Pinus_sylvestris].[Pinus_sylvestris].[Sweden].[SE64+],[Pinus_sylvestris].[Pinus_sylvestris].[Sweden].[SE64+],G,G
54,[Pinus_sylvestris].[Pinus_sylvestris].[Sweden].[SE64+],[Pinus_sylvestris].[Pinus_sylvestris].[Sweden].[SE64+],G,G
55,[Pinus_sylvestris].[Pinus_sylvestris].[Sweden].[SE63+],[Pinus_sylvestris].[Pinus_sylvestris].[Sweden].[SE63+],G,G
56,[Pinus_sylvestris].[Pinus_sylvestris].[Sweden].[SE63+],[Pinus_sylvestris].[Pinus_sylvestris].[Sweden].[SE63+],G,G
57,[Pinus_sylvestris].[Pinus_sylvestris].[Sweden].[SE64+],[Pinus_sylvestris].[Pinus_sylvestris].[Sweden].[SE64+],G,G
58,[Pinus_sylvestris].[Pinus_sylvestris].[Sweden].[SE64+],[Pinus_sylvestris].[Pinus_sylvestris].[Sweden].[SE64+],G,G
59,[Pinus_sylvestris].[Pinus_sylvestris].[Sweden].[SE64+],[Pinus_sylvestris].[Pinus_sylvestris].[Sweden].[SE64+],G,G
60,[Pinus_sylvestris].[Pinus_sylvestris].[Sweden].[SE64],[Pinus_sylvestris].[Pinus_sylvestris].[Sweden].[SE64],G,G
61,[Pinus_sylvestris].[Pinus_sylvestris].[Sweden].[SE63],[Pinus_sylvestris].[Pinus_sylvestris].[Sweden].[SE63],G,G
62,[Pinus_sylvestris].[Pinus_sylvestris].[Sweden].[SE63],[Pinus_sylvestris].[Pinus_sylvestris].[Sweden].[SE63],G,G
63,[Pinus_sylvestris].[Pinus_sylvestris].[Sweden].[SE63],[Pinus_sylvestris].[Pinus_sylvestris].[Sweden].[SE63],G,G
64,[Pinus_sylvestris].[Pinus_sylvestris].[Sweden].[SE63],[Pinus_sylvestris].[Pinus_sylvestris].[Sweden].[SE63],G,G
65,[Pinus_sylvestris].[Pinus_sylvestris].[Sweden].[Unknown],[Pinus_sylvestris].[Pinus_sylvestris].[Sweden].[Unknown],G,G
66,[Pinus_sylvestris].[Pinus_sylvestris].[Sweden].[SE63],[Pinus_sylvestris].[Pinus_sylvestris].[Sweden].[SE63],G,G
67,[Pinus_sylvestris].[Pinus_sylvestris].[Sweden].[SE64],[Pinus_sylvestris].[Pinus_sylvestris].[Sweden].[SE64],G,G
68,[Pinus_sylvestris].[Pinus_sylvestris].[Sweden].[SE65],[Pinus_sylvestris].[Pinus_sylvestris].[Sweden].[SE65],G,G
69,[Pinus_sylvestris].[Pinus_sylvestris].[Sweden].[SE64],[Pinus_sylvestris].[Pinus_sylvestris].[Sweden].[SE64],G,G
70,[Pinus_sylvestris].[Pinus_sylvestris].[Sweden].[SE64],[Pinus_sylvestris].[Pinus_sylvestris].[Sweden].[SE64],G,G
71,[Pinus_sylvestris].[Pinus_sylvestris].[Sweden].[SE63],[Pinus_sylvestris].[Pinus_sylvestris].[Sweden].[SE63],G,G
72,[Pinus_sylvestris].[Pinus_sylvestris].[Sweden].[SE63],[Pinus_sylvestris].[Pinus_sylvestris].[Sweden].[SE63],G,G
